text,question,answer_term,ep,sp
" adulthood. Exposures that occur during fetal or early life periods may produce changes in brain related to physiological re-programming from an epigenetic influence such as altered DNA methylation status. Since DNA methylation is regulated by DNA methyltransferases and methyl cytosine-binding proteins, this study assessed the extent to which developmental Pb exposure might affect expression of these proteins in the hippocampus. Long Evans dams were fed chow with or without added Pb acetate (0, 150, 375, 750 ppm) prior to breeding and remained on the same diet through weaning (perinatal exposure group). Other animals were exposed to the same doses",Pb acts as INDIRECT-REGULATOR for what entity? ,methyl cytosine-binding proteins,-1.0,-1.0
" other biological aldehydes in the body. Mammalian ALDH1B1, another mitochondrial enzyme sharing 72% identity with ALDH2, is also capable of metabolizing acetaldehyde but has a tissue distribution and pattern of activity distinct from that of ALDH2. Bioinformatic analyses of several vertebrate genomes were undertaken using known ALDH2 and ALDH1B1 amino acid sequences. Phylogenetic analysis of many representative vertebrate species (including fish, amphibians, birds and mammals) indicated the presence of ALDH1B1 in many mammalian species and in frogs (Xenopus tropicalis); no evidence was found for ALDH1B1 in the genomes of birds, reptiles or fish. Predicted vertebrate ALDH2 and ALDH1B1 subunit sequences",amino acid acts as PART-OF for what entity? ,ALDH2,336.0,331.0
" other biological aldehydes in the body. Mammalian ALDH1B1, another mitochondrial enzyme sharing 72% identity with ALDH2, is also capable of metabolizing acetaldehyde but has a tissue distribution and pattern of activity distinct from that of ALDH2. Bioinformatic analyses of several vertebrate genomes were undertaken using known ALDH2 and ALDH1B1 amino acid sequences. Phylogenetic analysis of many representative vertebrate species (including fish, amphibians, birds and mammals) indicated the presence of ALDH1B1 in many mammalian species and in frogs (Xenopus tropicalis); no evidence was found for ALDH1B1 in the genomes of birds, reptiles or fish. Predicted vertebrate ALDH2 and ALDH1B1 subunit sequences",amino acid acts as PART-OF for what entity? ,ALDH1B1,348.0,341.0
" Comparative genomics, molecular evolution and computational modeling of ALDH1B1 and ALDH2.Vertebrate ALDH2 genes encode mitochondrial enzymes capable of metabolizing acetaldehyde and other biological aldehydes in the body. Mammalian ALDH1B1, another mitochondrial enzyme sharing 72% identity with ALDH2, is also capable of metabolizing acetaldehyde but has a tissue distribution and pattern of activity distinct from that of ALDH2. Bioinformatic analyses of several vertebrate genomes were undertaken using known ALDH2 and ALDH1B1 amino acid sequences. Phylogenetic analysis of many representative vertebrate species (including fish, amphibians, birds and mammals) indicated the presence of ALDH1B1 in",acetaldehyde acts as SUBSTRATE for what entity? ,Mammalian ALDH1B1,-1.0,-1.0
" Comparative genomics, molecular evolution and computational modeling of ALDH1B1 and ALDH2.Vertebrate ALDH2 genes encode mitochondrial enzymes capable of metabolizing acetaldehyde and other biological aldehydes in the body. Mammalian ALDH1B1, another mitochondrial enzyme sharing 72% identity with ALDH2, is also capable of metabolizing acetaldehyde but has a tissue distribution and pattern of activity distinct from that of ALDH2. Bioinformatic analyses of several vertebrate genomes were undertaken using known ALDH2 and ALDH1B1 amino acid sequences. Phylogenetic analysis of many representative vertebrate species (including fish, amphibians, birds and mammals) indicated the presence of ALDH1B1 in",acetaldehyde acts as SUBSTRATE for what entity? ,ALDH2,107.0,102.0
" by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG mediated inhibition of AR prevented LPS-induced activation of JNK and p38 and lowered ROS levels, which could inhibit LPS-induced apoptosis. Uveitis is a disease of the eye associated with chronic inflammation. In this study, we also demonstrated that treatment with BGG decreased the number of inflammatory cells that infiltrate",BGG acts as INDIRECT-DOWNREGULATOR for what entity? ,JNK,424.0,421.0
" by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG mediated inhibition of AR prevented LPS-induced activation of JNK and p38 and lowered ROS levels, which could inhibit LPS-induced apoptosis. Uveitis is a disease of the eye associated with chronic inflammation. In this study, we also demonstrated that treatment with BGG decreased the number of inflammatory cells that infiltrate",BGG acts as INDIRECT-DOWNREGULATOR for what entity? ,p38,432.0,429.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG-mediated inhibition of AR",Beta-glucogallin acts as INHIBITOR for what entity? ,AR,384.0,382.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin ( BGG , a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG-mediated inhibition of AR",BGG acts as INHIBITOR for what entity? ,AR,385.0,383.0
" murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG-mediated inhibition of AR prevented LPS-induced activation of JNK and p38 and lowered ROS levels, which could inhibit LPS-induced apoptosis. Uveitis is a disease of the eye",BGG acts as INHIBITOR for what entity? ,AR,256.0,254.0
" by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a decrease in sorbitol accumulation. In addition, BGG mediated inhibition of AR prevented LPS-induced activation of JNK and p38 and lowered ROS levels, which could inhibit LPS-induced apoptosis. Uveitis is a disease of the eye associated with chronic inflammation. In this study, we also demonstrated that treatment with BGG decreased the number of inflammatory cells that infiltrate",BGG acts as INHIBITOR for what entity? ,AR,77.0,75.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a",alcohol acts as PRODUCT-OF for what entity? ,Aldose reductase,-1.0,-1.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as measured by a",alcohol acts as PRODUCT-OF for what entity? ,AR,384.0,382.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as",aldehydes acts as SUBSTRATE for what entity? ,Aldose reductase,-1.0,-1.0
" Beta-glucogallin reduces the expression of lipopolysaccharide-induced inflammatory markers by inhibition of aldose reductase in murine macrophages and ocular tissues.Aldose reductase (AR) catalyzes the reduction of toxic lipid aldehydes to their alcohol products and mediates inflammatory signals triggered by lipopolysaccharide (LPS). Beta-glucogallin (BGG), a recently described AR inhibitor, was purified from extracts of the Indian gooseberry (Emblica officinalis). In this study, we found that BGG showed low cytotoxicity in Raw264.7 murine macrophages and effectively inhibited AR activity as",aldehydes acts as SUBSTRATE for what entity? ,AR,384.0,382.0
" distribution of the threonine-protein kinase B-RaF(V600E) inhibitor dabrafenib to the brain: implications for the treatment of melanoma brain metastases.Brain metastases are a common cause of death in stage IV metastatic melanoma. Dabrafenib is a BRAF (gene encoding serine/threonine-protein kinase B-Raf) inhibitor that has been developed to selectively target the valine 600 to glutamic acid substitution (BRAF(V600E)), which is commonly found in metastatic melanoma. Clinical trials with dabrafenib have shown encouraging results; however, the central nervous system distribution of dabrafenib remains unknown. Thus, the objective of the current study was to evaluate the brain distribution of dabrafenib in mice, and",valine acts as PART-OF for what entity? ,BRAF,252.0,248.0
" threonine-protein kinase B-RaF(V600E) inhibitor dabrafenib to the brain: implications for the treatment of melanoma brain metastases.Brain metastases are a common cause of death in stage IV metastatic melanoma. Dabrafenib is a BRAF (gene encoding serine/threonine-protein kinase B-Raf) inhibitor that has been developed to selectively target the valine 600 to glutamic acid substitution (BRAF(V600E)), which is commonly found in metastatic melanoma. Clinical trials with dabrafenib have shown encouraging results; however, the central nervous system distribution of dabrafenib remains unknown. Thus, the objective of the current study was to evaluate the brain distribution of dabrafenib in mice, and to see whether active",glutamic acid acts as PART-OF for what entity? ,BRAF,232.0,228.0
" Mechanisms limiting distribution of the threonine-protein kinase B-RaF(V600E) inhibitor dabrafeni to the brain: implications for the treatment of melanoma brain metastases.Brain metastases are a common cause of death in stage IV metastatic melanoma. Dabrafenib is a BRAF (gene encoding serine/threonine-protein kinase B-Raf) inhibitor that has been developed to selectively target the valine 600 to glutamic acid substitution (BRAF(V600E)), which",dabrafenib acts as INHIBITOR for what entity? ,threonine-protein kinase B-RaF,-1.0,-1.0
" Mechanisms limiting distribution of the threonine-protein kinase B-RaF(V600E) inhibitor dabrafeni to the brain: implications for the treatment of melanoma brain metastases.Brain metastases are a common cause of death in stage IV metastatic melanoma. Dabrafenib is a BRAF (gene encoding serine/threonine-protein kinase B-Raf) inhibitor that has been developed to selectively target the valine 600 to glutamic acid substitution (BRAF(V600E)), which",dabrafenib acts as INHIBITOR for what entity? ,V600E,-1.0,-1.0
" was 0.023, which increased by 18-fold in Mdr1 a/b(-/-)Bcrp1(-/-) mice to 0.42. Dabrafenib plasma exposure was ∼2-fold greater in Mdr1 a/b(-/-)Bcrp1(-/-) mice as compared with wild-type with an oral dose (25 mg/kg); however, the brain distribution was increased by ~10-fold with a resulting K(p) of 0.25. Further, compared with vemurafenib another BRAF(V600E) inhibitor, dabrafenib showed greater brain penetration with a similar dose. In conclusion, the dabrafenib brain distribution is limited in an intact BBB model, and the data presented herein may have clinical implications in the prevention and treatment of melanoma brain metastases.",vemurafenib acts as INHIBITOR for what entity? ,BRAF,-1.0,-1.0
" was 0.023, which increased by 18-fold in Mdr1 a/b(-/-)Bcrp1(-/-) mice to 0.42. Dabrafenib plasma exposure was ∼2-fold greater in Mdr1 a/b(-/-)Bcrp1(-/-) mice as compared with wild-type with an oral dose (25 mg/kg); however, the brain distribution was increased by ~10-fold with a resulting K(p) of 0.25. Further, compared with vemurafenib another BRAF(V600E) inhibitor, dabrafenib showed greater brain penetration with a similar dose. In conclusion, the dabrafenib brain distribution is limited in an intact BBB model, and the data presented herein may have clinical implications in the prevention and treatment of melanoma brain metastases.",vemurafenib acts as INHIBITOR for what entity? ,V600E,-1.0,-1.0
" the current study was to evaluate the brain distribution of dabrafenib in mice, and to see whether active efflux by P-glycoprotein (P-gp) and breast cancer resistance protein (BCRP) restricts its delivery across the blood-brain barrier (BBB). In vitro accumulation studies conducted in Madin-Darby canine kidney II cells indicate that dabrafenib is an avid substrate for both P-gp and BCRP. Directional flux studies revealed greater transport in the basolateral to apical direction with corrected efflux ratios greater than 2 for both P-gp and Bcrp1 transfected cell lines. In vivo, the ratio of area under the concentration-time curve (AUC)(brain) to AUC(plasma)",dabrafenib acts as SUBSTRATE for what entity? ,P-gp,381.0,377.0
" the current study was to evaluate the brain distribution of dabrafenib in mice, and to see whether active efflux by P-glycoprotein (P-gp) and breast cancer resistance protein (BCRP) restricts its delivery across the blood-brain barrier (BBB). In vitro accumulation studies conducted in Madin-Darby canine kidney II cells indicate that dabrafenib is an avid substrate for both P-gp and BCRP. Directional flux studies revealed greater transport in the basolateral to apical direction with corrected efflux ratios greater than 2 for both P-gp and Bcrp1 transfected cell lines. In vivo, the ratio of area under the concentration-time curve (AUC)(brain) to AUC(plasma)",dabrafenib acts as SUBSTRATE for what entity? ,BCRP,-1.0,-1.0
" that the intrinsic PK/PD properties of native FST315 are poorly suited for acting as a parentally administered biotherapeutic with broad systemic effects. Here, we leveraged protein engineering to modify the PK characteristics of the native molecule by fusing FST315 to a murine IgG(1) Fc and removing the intrinsic heparan sulfate binding activity of follistatin. The engineered variant molecule had ~100- and ~1600-fold improvements in terminal half-life and exposure, respectively. In contrast to the native FST315, the variant showed a robust, dose-dependent pharmacological effect when administered subcutaneously on a weekly basis in mouse models of muscle atrophy and degeneration. These",sulfate acts as DIRECT-REGULATOR for what entity? ,follistatin,-1.0,-1.0
" from crude cell lysates.Small interfering RNAs (siRNAs) direct Argonaute proteins, the core components of the RNA-induced silencing complex (RISC), to cleave complementary target RNAs. Here, we describe a method to purify active RISC containing a single, unique small RNA guide sequence. We begin by capturing RISC using a complementary 2'-O-methyl oligonucleotide tethered to beads. Unlike other methods that capture RISC but do not allow its recovery, our strategy purifies active, soluble RISC in good yield. The method takes advantage of the finding that RISC partially paired to a target through its siRNA guide dissociates more than 300 times faster",2'-O-methyl acts as DIRECT-REGULATOR for what entity? ,RISC,234.0,230.0
" Curcumin improves TNBS-induced colitis in rats by inhibiting IL-27 expression via the TLR4/NF-κB signaling pathway.Curcumin is a widely used spice with anti-inflammatory and anticancer properties. It has been reported to have beneficial effects in experimental colitis. This study explored whether curcumin improves colonic inflammation in a rat colitis model through inhibition of the TLR4/NF-κB signaling pathway and IL-27 expression. After induction of colitis with 2,4,6-trinitrobenzene sulfonic acid, rats were intragastrically administered with curcumin or sulfasalazine daily for one week. Rat intestinal mucosa was collected for evaluation of the disease activity",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,67.0,62.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-κB,527.0,522.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,237.0,232.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,TLR4,550.0,546.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-κB,527.0,522.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,569.0,566.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,237.0,232.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,p28,592.0,589.0
" p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,TLR4,52.0,48.0
" p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-κB,-1.0,-1.0
" p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,23.0,18.0
" and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",sulfasalazine acts as INDIRECT-DOWNREGULATOR for what entity? ,TLR4,39.0,35.0
" and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",sulfasalazine acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-κB,-1.0,-1.0
" and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased more rapidly in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",sulfasalazine acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,10.0,5.0
" in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INDIRECT-DOWNREGULATOR for what entity? ,IL-27,144.0,139.0
" Curcumin improves TNBS-induced colitis in rats by inhibiting IL-27 expression via the TLR4/NF-κB signaling pathway.Curcumin is a widely used spice with anti-inflammatory and anticancer properties. It has been reported to have beneficial effects in experimental colitis. This study explored whether curcumin improves colonic inflammation in a rat colitis model through inhibition of the TLR4/NF-κB signaling pathway and IL-27 expression. After induction of colitis with 2,4,6-trinitrobenzene sulfonic acid, rats were intragastrically administered with curcumin or sulfasalazine daily for one week. Rat intestinal mucosa was collected for evaluation of the disease activity",curcumin acts as INHIBITOR for what entity? ,TLR4,-1.0,-1.0
" Curcumin improves TNBS-induced colitis in rats by inhibiting IL-27 expression via the TLR4/NF-κB signaling pathway.Curcumin is a widely used spice with anti-inflammatory and anticancer properties. It has been reported to have beneficial effects in experimental colitis. This study explored whether curcumin improves colonic inflammation in a rat colitis model through inhibition of the TLR4/NF-κB signaling pathway and IL-27 expression. After induction of colitis with 2,4,6-trinitrobenzene sulfonic acid, rats were intragastrically administered with curcumin or sulfasalazine daily for one week. Rat intestinal mucosa was collected for evaluation of the disease activity",curcumin acts as INHIBITOR for what entity? ,NF-κB,-1.0,-1.0
" collected for evaluation of the disease activity index, colonic mucosa damage index, and histological score. Myeloperoxidase activity was detected by immunohistochemistry, and mRNA and protein expression levels of TLR4, NF-κB, and IL-27 in colonic mucosa were detected by RT-PCR and Western blot. Compared with the untreated colitis group, the curcumin treated group showed significant decreases in the disease activity index, colonic mucosa damage index, histological score, myeloperoxidase activity, and expressions of NF-κB mRNA, IL-27 mRNA, TLR4 protein, NF-κB p65 protein, and IL-27 p28 protein (p < 0.05). TLR4 mRNA expression did not differ between groups. Disease activity index decreased",curcumin acts as INHIBITOR for what entity? ,myeloperoxidase,492.0,477.0
" in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INHIBITOR for what entity? ,TLR4,-1.0,-1.0
" in the curcumin-treated group than in the sulfasalazine-treated group (p < 0.05). There was no significant difference in TLR4, NF-κB, and IL-27 mRNA and proteins between curcumin-treated and sulfasalazine-treated groups. Curcumin shows significant therapeutic effects on 2,4,6-trinitrobenzene sulfonic acid-induced colitis that are comparable to sulfasalazine. The anti-inflammatory actions of curcumin on colitis may involve inhibition of the TLR4/NF-κB signaling pathway and of IL-27 expression.",curcumin acts as INHIBITOR for what entity? ,NF-κB,-1.0,-1.0
" pharmacologic effect. In microdosing, use is made of accelerator MS (AMS). In this study, we investigated whether (129)I-labeling of proteins with subsequent AMS measurements is a suitable method to perform microdose studies with therapeutic proteins. We used erythropoietin (EPO) as a case study. RESULTS: In an animal study with (129)I labeled EPO in Han-Wistar rats, an increase of (129)I-EPO is observed after dose administration. The half-life was found to be 2 and 5.5 h for two different EPOs. These results are in accordance with expected values. CoNCLUSION: Although further research is required, (129)I-labeling of proteins seems a feasible method",(129)I acts as PART-OF for what entity? ,EPO,350.0,347.0
 The effects of kisspeptin in human reproductive function - therapeutic implications.Kisspeptin is a 54- amino acid peptide which is encoded by the KiSS-1 gene and activates the G protein-coupled receptor GPR54. Evidence suggests that this system is a key regulator of mammalian and human reproduction. Animal studies have shown that GPR54-deficient mice have abnormal sexual development. Central and peripheral administration of kisspeptin stimulates the hypothalamic-pituitary-gonadal,amino acid acts as PART-OF for what entity? ,Kisspeptin,-1.0,-1.0
" gene and activates the G protein-coupled receptor GPR54. Evidence suggests that this system is a key regulator of mammalian and human reproduction. Animal studies have shown that GPR54-deficient mice have abnormal sexual development. Central and peripheral administration of kisspeptin stimulates the hypothalamic-pituitary-gonadal (HPG) axis whilst pre-administration of a gonadotrophin releasing hormone (GnRH) antagonist abolishes this effect. In humans, inactivating GPR54 mutations cause normosmic hypogonadotrophic hypogonadism whilst activation of GPR54 signalling is associated with premature puberty. In healthy human volunteers, the acute intravenous administration of kisspeptin potently increases plasma luteinising hormone (LH) levels and significantly increases plasma follicle stimulating hormone",gonadotrophin releasing hormone acts as INHIBITOR for what entity? ,kisspeptin,286.0,276.0
